Filetime;VL-Temperatur (Soll);VL-Temperatur (Ist);RL-Temperatur (Ist);Öffnung des Durchgangsventils (Soll)
132912206886930000;35;34.7;34.2;9.835933
132912206887030000;35;34.7;34.2;9.835933
132912206887130000;35;34.7;34.2;9.835933
132912206887230000;35;34.7;34.2;9.835933
132912206887330000;35;34.7;34.2;9.835933
132912206887430000;35;34.7;34.2;9.839057
132912206887530000;35;34.7;34.2;9.839057
132912206887630000;35;34.7;34.2;9.839057
132912206887730000;35;34.7;34.2;9.839057
132912206887830000;35;34.7;34.2;9.839057
132912206887930000;35;34.7;34.2;9.842182
132912206888030000;35;34.7;34.2;9.842182
132912206888130000;35;34.7;34.2;9.842182
132912206888230000;35;34.7;34.2;9.842182
132912206888330000;35;34.7;34.2;9.842182
132912206888430000;35;34.7;34.2;9.845307
132912206888530000;35;34.7;34.2;9.845307
132912206888630000;35;34.7;34.2;9.845307
132912206888730000;35;34.7;34.2;9.845307
132912206888830000;35;34.7;34.2;9.845307
132912206888930000;35;34.7;34.2;9.848433
132912206889030000;35;34.7;34.2;9.848433
132912206889130000;35;34.7;34.2;9.848433
132912206889230000;35;34.7;34.2;9.848433
132912206889330000;35;34.7;34.2;9.848433
132912206889430000;35;34.7;34.2;9.851558
132912206889530000;35;34.7;34.2;9.851558
132912206889630000;35;34.7;34.2;9.851558
132912206889730000;35;34.7;34.2;9.851558
132912206889830000;35;34.7;34.2;9.851558
132912206889930000;35;34.7;34.2;9.854682
132912206890030000;35;34.7;34.2;9.854682
132912206890130000;35;34.7;34.2;9.854682
132912206890230000;35;34.7;34.2;9.854682
132912206890330000;35;34.7;34.2;9.854682
132912206890430000;35;34.7;34.2;9.857807
132912206890530000;35;34.7;34.2;9.857807
132912206890630000;35;34.7;34.2;9.857807
132912206890730000;35;34.7;34.2;9.857807
132912206890830000;35;34.7;34.2;9.857807
132912206890930000;35;34.7;34.2;9.860932
132912206891030000;35;34.7;34.2;9.860932
132912206891130000;35;34.7;34.2;9.860932
132912206891230000;35;34.7;34.2;9.860932
132912206891330000;35;34.7;34.2;9.860932
132912206891430000;35;34.7;34.2;9.864058
132912206891530000;35;34.7;34.2;9.864058
132912206891630000;35;34.7;34.2;9.864058
132912206891730000;35;34.7;34.2;9.864058
132912206891830000;35;34.7;34.2;9.864058
132912206891930000;35;34.7;34.2;9.867183
132912206892030000;35;34.7;34.2;9.867183
132912206892130000;35;34.7;34.2;9.867183
132912206892230000;35;34.7;34.2;9.867183
132912206892330000;35;34.7;34.2;9.867183
132912206892430000;35;34.7;34.2;9.870307
132912206892530000;35;34.7;34.2;9.870307
132912206892630000;35;34.7;34.2;9.870307
132912206892730000;35;34.7;34.2;9.870307
132912206892830000;35;34.7;34.2;9.870307
132912206892930000;35;34.7;34.2;9.873432
132912206893030000;35;34.7;34.2;9.873432
132912206893130000;35;34.7;34.2;9.873432
132912206893230000;35;34.7;34.2;9.873432
132912206893330000;35;34.7;34.2;9.873432
132912206893430000;35;34.7;34.2;9.876557
132912206893530000;35;34.7;34.2;9.876557
132912206893630000;35;34.7;34.2;9.876557
132912206893730000;35;34.7;34.2;9.876557
132912206893830000;35;34.7;34.2;9.876557
132912206893930000;35;34.7;34.2;9.879683
132912206894030000;35;34.7;34.2;9.879683
132912206894130000;35;34.7;34.2;9.879683
132912206894230000;35;34.7;34.2;9.879683
132912206894330000;35;34.7;34.2;9.879683
132912206894430000;35;34.7;34.2;9.882808
132912206894530000;35;34.7;34.2;9.882808
132912206894630000;35;34.7;34.2;9.882808
132912206894730000;35;34.7;34.2;9.882808
132912206894830000;35;34.7;34.2;9.882808
132912206894930000;35;34.7;34.2;9.885932
132912206895030000;35;34.7;34.2;9.885932
132912206895130000;35;34.7;34.2;9.885932
132912206895230000;35;34.7;34.2;9.885932
132912206895330000;35;34.7;34.2;9.885932
132912206895430000;35;34.7;34.2;9.889057
132912206895530000;35;34.7;34.2;9.889057
132912206895630000;35;34.7;34.2;9.889057
132912206895730000;35;34.7;34.2;9.889057
132912206895830000;35;34.7;34.2;9.889057
132912206895930000;35;34.7;34.2;9.892182
132912206896030000;35;34.7;34.2;9.892182
132912206896130000;35;34.7;34.2;9.892182
