Filetime;VL-Temperatur (Soll);VL-Temperatur (Ist);RL-Temperatur (Ist);Öffnung des Durchgangsventils (Soll)
132912114324330000;40;40.1;39.2;14.4525766
132912114324430000;40;40.1;39.2;14.4525766
132912114324530000;40;40.1;39.2;14.4525766
132912114324630000;40;40.1;39.2;14.4515352
132912114324730000;40;40.1;39.2;14.4515352
132912114324830000;40;40.1;39.2;14.4515352
132912114324930000;40;40.1;39.2;14.4515352
132912114325030000;40;40.1;39.2;14.4515352
132912114325130000;40;40.1;39.2;14.4504938
132912114325230000;40;40.1;39.2;14.4504938
132912114325330000;40;40.1;39.2;14.4504938
132912114325430000;40;40.1;39.2;14.4504938
132912114325530000;40;40.1;39.2;14.4504938
132912114325630000;40;40.1;39.2;14.4494524
132912114325730000;40;40.1;39.2;14.4494524
132912114325830000;40;40.1;39.2;14.4494524
132912114325930000;40;40.1;39.2;14.4494524
132912114326030000;40;40.1;39.2;14.4494524
132912114326130000;40;40.1;39.2;14.44841
132912114326230000;40;40.1;39.2;14.44841
132912114326330000;40;40.1;39.2;14.44841
132912114326430000;40;40.1;39.2;14.44841
132912114326530000;40;40.1;39.2;14.44841
132912114326630000;40;40.1;39.2;14.4473686
132912114326730000;40;40.1;39.2;14.4473686
132912114326830000;40;40.1;39.2;14.4473686
132912114326930000;40;40.1;39.2;14.4473686
132912114327030000;40;40.1;39.2;14.4473686
132912114327130000;40;40.1;39.2;14.4463272
132912114327230000;40;40.1;39.2;14.4463272
132912114327330000;40;40.1;39.2;14.4463272
132912114327430000;40;40.1;39.2;14.4463272
132912114327530000;40;40.1;39.2;14.4463272
132912114327630000;40;40.1;39.2;14.4452858
132912114327730000;40;40.1;39.2;14.4452858
132912114327830000;40;40.1;39.2;14.4452858
132912114327930000;40;40.1;39.2;14.4452858
132912114328030000;40;40.1;39.2;14.4452858
132912114328130000;40;40.1;39.2;14.4442434
132912114328230000;40;40.1;39.2;14.4442434
132912114328330000;40;40.1;39.2;14.4442434
132912114328430000;40;40.1;39.2;14.4442434
132912114328530000;40;40.1;39.2;14.4442434
132912114328630000;40;40.1;39.2;14.443202
132912114328730000;40;40.1;39.2;14.443202
132912114328830000;40;40.1;39.2;14.443202
132912114328930000;40;40.1;39.2;14.443202
132912114329030000;40;40.1;39.2;14.443202
132912114329130000;40;40.1;39.2;14.4421606
132912114329230000;40;40.2;39.2;14.4421606
132912114329330000;40;40.2;39.2;14.4421606
132912114329430000;40;40.2;39.2;14.4421606
132912114329530000;40;40.2;39.2;14.4421606
132912114329630000;40;40.2;39.2;14.415597
132912114329730000;40;40.2;39.2;14.415597
132912114329830000;40;40.2;39.2;14.415597
132912114329930000;40;40.2;39.2;14.415597
132912114330030000;40;40.2;39.2;14.415597
132912114330130000;40;40.2;39.2;14.4135141
132912114330230000;40;40.2;39.2;14.4135141
132912114330330000;40;40.2;39.2;14.4135141
132912114330430000;40;40.2;39.2;14.4135141
132912114330530000;40;40.2;39.2;14.4135141
132912114330630000;40;40.2;39.2;14.41143
132912114330730000;40;40.2;39.2;14.41143
132912114330830000;40;40.2;39.2;14.41143
132912114330930000;40;40.2;39.2;14.41143
132912114331030000;40;40.2;39.2;14.41143
132912114331130000;40;40.2;39.2;14.4093475
132912114331230000;40;40.2;39.2;14.4093475
132912114331330000;40;40.2;39.2;14.4093475
132912114331430000;40;40.2;39.2;14.4093475
132912114331530000;40;40.2;39.2;14.4093475
132912114331630000;40;40.2;39.2;14.4072638
132912114331730000;40;40.2;39.2;14.4072638
132912114331830000;40;40.2;39.2;14.4072638
132912114331930000;40;40.2;39.2;14.4072638
132912114332030000;40;40.2;39.2;14.4072638
132912114332130000;40;40.2;39.2;14.4051809
132912114332230000;40;40.2;39.2;14.4051809
132912114332330000;40;40.2;39.2;14.4051809
132912114332430000;40;40.2;39.2;14.4051809
132912114332530000;40;40.2;39.2;14.4051809
132912114332630000;40;40.2;39.2;14.4030972
132912114332730000;40;40.2;39.2;14.4030972
132912114332830000;40;40.2;39.2;14.4030972
132912114332930000;40;40.2;39.2;14.4030972
132912114333030000;40;40.2;39.2;14.4030972
132912114333130000;40;40.2;39.2;14.4010143
132912114333230000;40;40.2;39.2;14.4010143
132912114333330000;40;40.2;39.2;14.4010143
132912114333430000;40;40.2;39.2;14.4010143
132912114333530000;40;40.2;39.2;14.4010143
132912114333630000;40;40.2;39.2;14.3989305
132912114333730000;40;40.2;39.2;14.3989305
132912114333830000;40;40.2;39.2;14.3989305
132912114333930000;40;40.2;39.2;14.3989305
132912114334030000;40;40.2;39.2;14.3989305
132912114334130000;40;40.2;39.2;14.3968468
132912114334230000;40;40.2;39.2;14.3968468
132912114334330000;40;40.2;39.2;14.3968468
132912114334430000;40;40.2;39.2;14.3968468
132912114334530000;40;40.2;39.2;14.3968468
132912114334630000;40;40.2;39.2;14.3947639
132912114334730000;40;40.2;39.2;14.3947639
132912114334830000;40;40.2;39.2;14.3947639
132912114334930000;40;40.2;39.2;14.3947639
132912114335030000;40;40.2;39.2;14.3947639
132912114335130000;40;40.2;39.2;14.39268
132912114335230000;40;40.2;39.2;14.39268
132912114335330000;40;40.2;39.2;14.39268
132912114335430000;40;40.2;39.2;14.39268
132912114335530000;40;40.2;39.2;14.39268
132912114335630000;40;40.2;39.2;14.3905973
132912114335730000;40;40.2;39.2;14.3905973
132912114335830000;40;40.2;39.2;14.3905973
132912114335930000;40;40.2;39.2;14.3905973
132912114336030000;40;40.2;39.2;14.3905973
132912114336130000;40;40.2;39.2;14.3885136
132912114336230000;40;40.2;39.2;14.3885136
132912114336330000;40;40.2;39.2;14.3885136
132912114336430000;40;40.2;39.2;14.3885136
132912114336530000;40;40.2;39.2;14.3885136
132912114336630000;40;40.2;39.2;14.3864307
132912114336730000;40;40.2;39.2;14.3864307
132912114336830000;40;40.2;39.2;14.3864307
132912114336930000;40;40.2;39.2;14.3864307
132912114337030000;40;40.2;39.2;14.3864307
132912114337130000;40;40.2;39.2;14.384347
132912114337230000;40;40.2;39.2;14.384347
132912114337330000;40;40.2;39.2;14.384347
132912114337430000;40;40.2;39.2;14.384347
132912114337530000;40;40.2;39.2;14.384347
132912114337630000;40;40.2;39.2;14.3822641
132912114337730000;40;40.2;39.2;14.3822641
132912114337830000;40;40.2;39.2;14.3822641
132912114337930000;40;40.2;39.2;14.3822641
132912114338030000;40;40.2;39.2;14.3822641
132912114338130000;40;40.2;39.2;14.38018
132912114338230000;40;40.2;39.2;14.38018
132912114338330000;40;40.2;39.2;14.38018
132912114338430000;40;40.2;39.2;14.38018
132912114338530000;40;40.2;39.2;14.38018
132912114338630000;40;40.2;39.2;14.3780975
132912114338730000;40;40.2;39.2;14.3780975
132912114338830000;40;40.2;39.2;14.3780975
132912114338930000;40;40.2;39.2;14.3780975
132912114339030000;40;40.2;39.2;14.3780975
132912114339130000;40;40.2;39.2;14.3760138
132912114339230000;40;40.2;39.2;14.3760138
132912114339330000;40;40.2;39.2;14.3760138
132912114339430000;40;40.2;39.2;14.3760138
132912114339530000;40;40.2;39.2;14.3760138
132912114339630000;40;40.2;39.2;14.3739309
132912114339730000;40;40.2;39.2;14.3739309
132912114339830000;40;40.2;39.2;14.3739309
132912114339930000;40;40.2;39.2;14.3739309
132912114340030000;40;40.2;39.2;14.3739309
