Filetime;VL-Temperatur (Soll);VL-Temperatur (Ist);RL-Temperatur (Ist);Öffnung des Durchgangsventils (Soll)
132912214324230000;40;41.1;39.3;20.8098755
132912214324330000;40;41.1;39.3;20.8098755
132912214324430000;40;41.1;39.3;20.798418
132912214324530000;40;41.1;39.3;20.798418
132912214324630000;40;41.1;39.3;20.798418
132912214324730000;40;41.1;39.3;20.798418
132912214324830000;40;41.1;39.3;20.798418
132912214324930000;40;41.1;39.3;20.78696
132912214325030000;40;41.1;39.3;20.78696
132912214325130000;40;41.1;39.3;20.78696
132912214325230000;40;41.1;39.3;20.78696
132912214325330000;40;41.1;39.3;20.78696
132912214325430000;40;41.1;39.3;20.7755013
132912214325530000;40;41.1;39.3;20.7755013
132912214325630000;40;41.1;39.3;20.7755013
132912214325730000;40;41.1;39.3;20.7755013
132912214325830000;40;41.1;39.3;20.7755013
132912214325930000;40;41.1;39.3;20.7640438
132912214326030000;40;41.1;39.3;20.7640438
132912214326130000;40;41.1;39.3;20.7640438
132912214326230000;40;41.1;39.3;20.7640438
132912214326330000;40;41.1;39.3;20.7640438
132912214326430000;40;41.1;39.3;20.7525845
132912214326530000;40;41.1;39.3;20.7525845
132912214326630000;40;41.1;39.3;20.7525845
132912214326730000;40;41.1;39.3;20.7525845
132912214326830000;40;41.1;39.3;20.7525845
132912214326930000;40;41.1;39.3;20.741127
132912214327030000;40;41.1;39.3;20.741127
132912214327130000;40;41.1;39.3;20.741127
132912214327230000;40;41.1;39.3;20.741127
132912214327330000;40;41.1;39.3;20.741127
132912214327430000;40;41.1;39.3;20.7296677
132912214327530000;40;41.1;39.3;20.7296677
132912214327630000;40;41.1;39.3;20.7296677
132912214327730000;40;41.1;39.3;20.7296677
132912214327830000;40;41.1;39.3;20.7296677
132912214327930000;40;41.1;39.3;20.71821
132912214328030000;40;41.1;39.3;20.71821
132912214328130000;40;41.1;39.3;20.71821
132912214328230000;40;41.1;39.3;20.71821
132912214328330000;40;41.1;39.3;20.71821
132912214328430000;40;41.1;39.3;20.70675
132912214328530000;40;41.1;39.3;20.70675
132912214328630000;40;41.1;39.3;20.70675
132912214328730000;40;41.1;39.3;20.70675
132912214328830000;40;41.1;39.3;20.70675
132912214328930000;40;41.1;39.3;20.6952934
132912214329030000;40;41.1;39.3;20.6952934
132912214329130000;40;41.1;39.3;20.6952934
132912214329230000;40;41.1;39.3;20.6952934
132912214329330000;40;41.1;39.3;20.6952934
132912214329430000;40;41.1;39.3;20.6838341
132912214329530000;40;41.1;39.3;20.6838341
132912214329630000;40;41.1;39.3;20.6838341
132912214329730000;40;41.1;39.3;20.6838341
132912214329830000;40;41.1;39.3;20.6838341
132912214329930000;40;41.1;39.3;20.6723766
132912214330030000;40;41.1;39.3;20.6723766
132912214330130000;40;41.1;39.3;20.6723766
132912214330230000;40;41.1;39.3;20.6723766
132912214330330000;40;41.1;39.3;20.6723766
132912214330430000;40;41.1;39.3;20.6609173
132912214330530000;40;41.1;39.3;20.6609173
132912214330630000;40;41.1;39.3;20.6609173
132912214330730000;40;41.1;39.3;20.6609173
132912214330830000;40;41.1;39.3;20.6609173
132912214330930000;40;41.1;39.3;20.64946
132912214331030000;40;41.1;39.3;20.64946
132912214331130000;40;41.1;39.3;20.64946
132912214331230000;40;41.1;39.3;20.64946
132912214331330000;40;41.1;39.3;20.64946
